Relationship ID,Source Metric,Source Category,Target Metric,Target Category,Relationship Type,Strength,Direction,Timeframe Sensitivity,Description,Technical Evidence,Trading Relevance,Implementation Note
PA-020,Swing Deviation,Swing Dynamics Metrics,Climactic Movement Detection,Momentum & Acceleration Metrics,Confirmatory,Strong,Unidirectional,Moderate,High swing deviation confirms potential climactic movement,Swings that deviate significantly from average often indicate climactic or exhaustion moves,"Critical for Risk Alerts (5/5), High for Position Monitoring (4/5)",Calculate using z-scores from historical swing data
PA-021,Momentum Shifts,Candlestick Characteristics Analysis,Trend Weakness Warning,Composite Trend Strength Analysis,Leading,Strong,Unidirectional,Low,Sequential momentum shifts in candles often precede broader trend weakness,A series of decreasing momentum candles frequently signals waning trend strength,"High for Position Monitoring (4/5), Important for Risk Alerts (4/5)",Track sequence of 3-5 candles for momentum direction
PA-022,Price Change Velocity,Market Microstructure Analysis,Acceleration Rate,Momentum & Acceleration Metrics,Confirmatory,Strong,Bidirectional,Low,Price change velocity confirms acceleration rate measurements,Both metrics measure the speed of price change but at different granularity levels,"Moderate for Trade Validation (3/5), High for Micro Price Action (4/5)",Calculate on multiple timeframes for confirmation
PA-023,Price Clustering,Market Microstructure Analysis,Support/Resistance,Support/Resistance Tools,Contextual,Moderate,Unidirectional,Moderate,Price clustering provides context for identifying informal support/resistance,Areas where price spends significant time often become psychological support/resistance,"Important for Trade Validation (4/5), Moderate for Opportunity Scanning (3/5)",Track time spent at each price level to identify clusters
PA-024,Move Symmetry,Market Microstructure Analysis,Trend Confidence Level,Composite Trend Strength Analysis,Contextual,Moderate,Unidirectional,High,Move symmetry provides context for trend confidence assessment,Asymmetric moves (faster in one direction) often indicate stronger trends,"Moderate for Trade Validation (3/5), High for Position Monitoring (4/5)",Compare velocity ratios between up and down moves
PA-025,Time-at-Level Analysis,Market Microstructure Analysis,Price Clustering,Market Microstructure Analysis,Causal,Strong,Unidirectional,Moderate,Time spent at price levels directly influences price clustering,Mathematical relationship: more time at a level = stronger clustering,"Important for Trade Validation (4/5), Moderate for Opportunity Scanning (3/5)",Monitor cumulative time at each price level
PA-026,Multi-factor Trend Score,Composite Trend Strength Analysis,Probable Future Direction,Composite Trend Strength Analysis,Contextual,Strong,Unidirectional,Low,Multi-factor trend score provides primary context for probable future direction,Composite score incorporating multiple metrics provides more reliable direction prediction,"Critical for Trade Validation (5/5), Very Important for Opportunity Scanning (5/5)",Aggregate multiple trend factors with appropriate weighting
PA-027,Trend Confidence Level,Composite Trend Strength Analysis,Probable Future Direction,Composite Trend Strength Analysis,Contextual,Strong,Unidirectional,Moderate,Trend confidence modifies the reliability of probable future direction,Higher confidence scores correlate with more reliable directional predictions,"Critical for Trade Validation (5/5), High for Position Monitoring (4/5)",Incorporate confidence as a modifying factor for direction signals
PA-028,Momentum-Price Alignment,Composite Trend Strength Analysis,Momentum Divergence,Momentum & Acceleration Metrics,Contradictory,Strong,Bidirectional,Low,Momentum-price alignment and momentum divergence are opposites,"When alignment is strong, divergence is absent; when divergence appears, alignment weakens","Very Important for Trade Validation (5/5), Critical for Risk Alerts (5/5)",Track correlation between price extremes and momentum readings
PA-029,Swing Deviation,Swing Dynamics Metrics,Trend Confidence Level,Composite Trend Strength Analysis,Contextual,Moderate,Unidirectional,High,Swing deviation provides context for assessing trend confidence,Consistent swing sizes (low deviation) typically indicate higher trend confidence,"Moderate for Trade Validation (3/5), Important for Position Monitoring (4/5)",Calculate standard deviation of recent swing magnitudes
PA-030,Probable Future Direction,Composite Trend Strength Analysis,Reversal Warning,Projection & Pullback Metrics,Contradictory,Moderate,Unidirectional,Moderate,Probable future direction contradicts reversal warnings,Strong directional probability reduces the significance of potential reversal signals,"High for Trade Validation (4/5), Important for Risk Alerts (4/5)",Weigh directional probability against reversal signals
